volume,file,line,label,title,env_type,status,suspicious_refs
V1,chapters/connections/editorial_constitution.tex,533,prop:standard-tower-mc5-reduction,"Standard-tower MC5 reduction after MC3 and realized
MC4",proposition,ProvedHere,conj:master-dk-kl:Conjectured
V1,chapters/connections/editorial_constitution.tex,621,cor:standard-tower-mc5-closure,"Standard-tower MC5 closure on the canonical Yangian
locus",corollary,ProvedHere,conj:master-dk-kl:Conjectured
V1,chapters/connections/editorial_constitution.tex,954,rem:conjecture-attack-strategies,Conjecture-by-conjecture attack strategies,remark,ProvedHere,conj:scalar-saturation-universality:Conjectured ; conj:w3-bar-gf:Conjectured ; conj:sl3-bar-gf:Conjectured ; conj:yangian-bar-gf:Conjectured ; conj:non-simply-laced-discriminant:Conjectured ; conj:baxter-exact-triangles:Conjectured ; conj:pro-weyl-recovery:Conjectured ; conj:dk-compacts-completion:Conjectured ; conj:kl-periodic-cdg:Conjectured ; conj:kl-coderived:Conjectured ; conj:kl-braided:Conjectured ; conj:master-bv-brst:Conjectured ; conj:bar-cobar-path-integral:Conjectured ; conj:string-amplitude-bar:Conjectured ; conj:ads-cft-bar:Conjectured ; conj:holographic-koszul:Conjectured ; conj:agt-bar-cobar:Conjectured ; conj:agt-w-algebra:Conjectured ; conj:q-agt:Conjectured ; conj:nc-cs:Conjectured ; conj:cs-factorization:Conjectured ; conj:disk-local-perturbative-fm:Conjectured ; conj:reflected-modular-periodicity:Conjectured ; conj:derived-bc-betagamma:Conjectured ; conj:w-orbit-duality:Conjectured ; conj:type-a-transport-to-transpose:Conjectured
V1,chapters/connections/editorial_constitution.tex,2607,prop:constitution-status-updates,Status updates from the conjecture census,proposition,ProvedHere,prop:mc3-type-b-folding:Conjectured
V1,chapters/connections/feynman_diagrams.tex,323,prop:disk-local-binary-ternary-reduction,Binary-ternary reduction for the disk-local packet,proposition,ProvedHere,conj:disk-local-perturbative-fm:Conjectured
V1,chapters/connections/feynman_diagrams.tex,389,prop:compactified-ternary-two-channel,"Two-channel reduction after compactifying the
  ternary packet",proposition,ProvedHere,conj:disk-local-perturbative-fm:Conjectured
V1,chapters/connections/thqg_critical_string_dichotomy.tex,1936,cor:g9-comparison-universal,The comparison map is universal,corollary,ProvedHere,rem:g9-mc-relation:Unknown
V1,chapters/connections/thqg_symplectic_polarization.tex,1148,prop:thqg-III-compatibility,"Compatibility of the two symplectic
structures",proposition,ProvedHere,thm:thqg-III-lagrangian-polarization:Conditional
V1,chapters/connections/thqg_symplectic_polarization.tex,1764,thm:thqg-III-landscape-census,Standard landscape complementarity census,theorem,ProvedHere,thm:thqg-III-lagrangian-polarization:Conditional
V1,chapters/connections/ym_boundary_theory.tex,58,thm:ym-bar-bridge,Bridge theorem: boundary chiral algebra $\to$ mass-gap criterion via bar-cobar,theorem,ProvedHere,"thm:conditional-mass-gap-transfer:Conditional,Conjectured"
V1,chapters/connections/ym_instanton_screening.tex,526,cor:stable-untwisting-bounded-error,Stable untwisting under bounded error,corollary,ProvedHere,"thm:conditional-mass-gap-transfer:Conditional,Conjectured"
V1,chapters/examples/w_algebras.tex,250,thm:w-algebra-koszul-main,\texorpdfstring{$\mathcal{W}$}{W}-algebra Koszul duality for principal nilpotent,theorem,ProvedHere,conj:w-orbit-duality:Conjectured
V1,chapters/examples/w_algebras_deep.tex,924,thm:winfty-factorization-kd,"Factorization Koszul dual of
\texorpdfstring{$\mathcal{W}_\infty$}{W_infinity} via DS--sectorwise convergence",theorem,ProvedHere,conj:w-infty-bar:Conjectured
V1,chapters/examples/yangians_computations.tex,1313,cor:dk-partial-conj,"Partial resolution of
Conjecture~\textup{\ref{conj:full-derived-dk}}",corollary,ProvedHere,conj:full-derived-dk:Conjectured
V1,chapters/examples/yangians_computations.tex,3190,prop:mc3-automatic-generalization,Automatic generalization of MC3 proof steps,proposition,ProvedHere,prop:mc3-type-b-folding:Conjectured
V1,chapters/examples/yangians_drinfeld_kohno.tex,495,prop:yangian-dk3-generated-core,"DK-3 reduction to evaluation-generated
factorization cores",proposition,ProvedHere,conj:full-derived-dk:Conjectured
V1,chapters/examples/yangians_drinfeld_kohno.tex,2126,prop:yangian-dk-mc4-reduction,"Formal reduction principle from DK-3 to
DK-4/DK-5",proposition,ProvedHere,conj:full-dk-bridge:Conjectured
V1,chapters/examples/yangians_drinfeld_kohno.tex,2293,thm:bridge-criterion,Bridge Criterion Theorem,theorem,ProvedHere,conj:full-dk-bridge:Conjectured
V1,chapters/examples/yangians_drinfeld_kohno.tex,4516,cor:yangian-hlevel-comparison-criterion,H-level comparison criterion for dg-shifted Yangians,corollary,ProvedHere,conj:master-infinite-generator:Conjectured
V1,chapters/examples/yangians_foundations.tex,2733,cor:shifted-rtt-tower-convergence,Automatic tower convergence,corollary,ProvedHere,conj:jet-principle:Conjectured
V1,chapters/theory/bar_cobar_adjunction_inversion.tex,3459,prop:subexponential-growth-automatic,Sub-exponential growth is automatic,proposition,ProvedHere,conj:factorization-finiteness-criterion:Conjectured
V1,chapters/theory/chiral_hochschild_koszul.tex,3254,prop:characteristic-hierarchy,Characteristic hierarchy,proposition,ProvedHere,conj:modular-periodicity-minimal:Conjectured
V1,chapters/theory/e1_modular_koszul.tex,379,thm:e1-coinvariant-shadow,"Coinvariant projection: $E_1$ shadows to $E_\infty$
shadows",theorem,ProvedHere,conj:FG-shadow:Conjectured
V1,chapters/theory/higher_genus_modular_koszul.tex,3155,thm:explicit-theta,Explicit universal MC class,theorem,ProvedHere,conj:scalar-saturation-universality:Conjectured
V1,chapters/theory/higher_genus_modular_koszul.tex,6724,cor:scalar-saturation,Scalar saturation of the universal MC class,corollary,ProvedHere,conj:scalar-saturation-universality:Conjectured
V1,chapters/theory/higher_genus_modular_koszul.tex,7115,prop:saturation-equivalence,Saturation equivalence criterion,proposition,ProvedHere,conj:scalar-saturation-universality:Conjectured
V1,chapters/theory/higher_genus_modular_koszul.tex,15606,cor:topological-recursion-mc-shadow,Topological recursion as MC shadow,corollary,ProvedHere,conj:EO-recursion:Conjectured
V1,chapters/theory/quantum_corrections.tex,1192,prop:borcherds-shadow-identification,"Secondary Borcherds operations as shadow tower
obstructions",proposition,ProvedHere,prop:cech-bar-intertwining:Conjectured
V2,chapters/connections/ht_bulk_boundary_line_frontier.tex,888,cor:dodecahedron-lagrangian-singularity,,corollary,ProvedHere,thm:koszul-dodecahedron:Unknown ; thm:koszul-dodecahedron:Unknown
V2,chapters/connections/thqg_bv_ht_extensions.tex,1135,prop:bv-partition-bar-integral,BV partition function as bar-complex integral; \ClaimStatusProvedHere,proposition,ProvedHere,conj:bv-integration-bar-cobar:Heuristic
V2,chapters/connections/thqg_critical_string_dichotomy.tex,1947,cor:g9-comparison-universal,,corollary,ProvedHere,rem:g9-mc-relation:Unknown
V2,chapters/connections/conclusion.tex,941,thm:tree-wheel-bridge,,theorem,ProvedHere,prop:vir-truncation:Conditional ; prop:vir-truncation:Conditional
V2,chapters/connections/bar-cobar-review.tex,542,thm:steinberg-presentation,,theorem,ProvedHere,rem:steinberg-lagrangian-origin:Unknown
V2,chapters/connections/bar-cobar-review.tex,1475,cor:dodecahedron-lagrangian,,corollary,ProvedHere,thm:koszul-dodecahedron:Unknown
V2,chapters/connections/ym_synthesis.tex,1643,cor:stable-untwisting-bounded-error,Stable untwisting under bounded error; \ClaimStatusProvedHere,corollary,ProvedHere,"thm:conditional-mass-gap-transfer:Conditional,Conjectured"
V2,chapters/connections/modular_pva_quantization_frontier.tex,817,cor:w3-no-quadratic-self-obstruction,Classical $W_3$: no quadratic self-obstruction; \ClaimStatusProvedHere,corollary,ProvedHere,rem:vol2-genus-two-entry:Unknown
V2,chapters/connections/anomaly_completed_topological_holography.tex,1886,comp:abelian-cs-strict-datum,,computation,ProvedHere,rem:tholog-hmkd-comparison:Unknown
V2,chapters/connections/modular_pva_quantization.tex,2011,cor:w3-no-quadratic-self-obstruction,Classical $W_3$: no quadratic self-obstruction; \ClaimStatusProvedHere,corollary,ProvedHere,rem:vol2-genus-two-entry:Unknown
V2,chapters/connections/dg_shifted_factorization_bridge.tex,3,chap:dg-shifted-factorization,#1,remark,ProvedHere,rem:yangian-logical-status:Unknown
V2,chapters/connections/ym_synthesis_frontier.tex,626,cor:stable-untwisting-bounded-error,Stable untwisting under bounded error; \ClaimStatusProvedHere,corollary,ProvedHere,"thm:conditional-mass-gap-transfer:Conditional,Conjectured"
V2,chapters/connections/celestial_holography.tex,1047,prop:celestial-cross-conjecture,Cross-conjecture relation; \ClaimStatusProvedHere,proposition,ProvedHere,conj:explicit-charged-quartic-jet-provisional:Conjectured ; conj:first-mixed-bubble-coefficient-provisional:Conjectured
V2,chapters/connections/ordered_associative_chiral_kd_frontier.tex,1407,cor:bordered-fm-genus-zero,,corollary,ProvedHere,conj:bordered:Conjectured ; conj:bordered:Conjectured ; cor:bordered-from-CG:Unknown
V2,chapters/connections/thqg_symplectic_polarization.tex,1147,prop:thqg-III-compatibility,,proposition,ProvedHere,thm:thqg-III-lagrangian-polarization:Conditional
V2,chapters/connections/thqg_symplectic_polarization.tex,1762,thm:thqg-III-landscape-census,,theorem,ProvedHere,thm:thqg-III-lagrangian-polarization:Conditional
V2,chapters/connections/thqg_fm_calculus_extensions.tex,49,prop:fm4-boundary-strata,,proposition,ProvedHere,rem:nonconsecutive_vanishing:Unknown
V2,chapters/connections/anomaly_completed_frontier.tex,121,comp:abelian-cs-strict-datum,,computation,ProvedHere,rem:tholog-hmkd-comparison:Unknown
V2,chapters/connections/thqg_celestial_holography_extensions.tex,1532,comp:quartic-contact-residue,Quartic contact residue; \ClaimStatusProvedHere,computation,ProvedHere,rem:tiny-internal-support:Unknown
