ABG04	chapters/theory/derived_langlands.tex:1480;chapters/theory/chiral_koszul_pairs.tex:6013	none
ACL19	chapters/theory/higher_genus_modular_koszul.tex:8729;chapters/theory/higher_genus_modular_koszul.tex:9190;chapters/examples/w_algebras.tex:3008;chapters/examples/w_algebras.tex:3016	none
AEMM19	chapters/connections/entanglement_modular_koszul.tex:1081	none
AF15	chapters/theory/higher_genus_complementarity.tex:4068;chapters/theory/higher_genus_complementarity.tex:4153;chapters/theory/higher_genus_complementarity.tex:4227;chapters/theory/higher_genus_complementarity.tex:4264;chapters/theory/higher_genus_complementarity.tex:4268;chapters/theory/higher_genus_complementarity.tex:4579;chapters/theory/higher_genus_complementarity.tex:4655;chapters/theory/higher_genus_complementarity.tex:4660;chapters/theory/higher_genus_complementarity.tex:4671;chapters/theory/configuration_spaces.tex:1195;chapters/theory/configuration_spaces.tex:1211;chapters/theory/configuration_spaces.tex:4883;chapters/theory/algebraic_foundations.tex:1599;chapters/theory/chiral_modules.tex:38;chapters/theory/bar_construction.tex:340;chapters/theory/bar_construction.tex:340;chapters/theory/bar_construction.tex:348;chapters/theory/bar_construction.tex:354;chapters/theory/hochschild_cohomology.tex:1308;chapters/theory/hochschild_cohomology.tex:1318;chapters/theory/hochschild_cohomology.tex:1453;chapters/theory/hochschild_cohomology.tex:1455;chapters/theory/higher_genus_foundations.tex:1425;chapters/theory/higher_genus_foundations.tex:2664;chapters/theory/poincare_duality.tex:638;chapters/theory/bar_cobar_adjunction_inversion.tex:2940;chapters/theory/bar_cobar_adjunction_inversion.tex:3601;chapters/theory/bar_cobar_adjunction_inversion.tex:3711;chapters/theory/bar_cobar_adjunction_inversion.tex:3747;chapters/theory/bar_cobar_adjunction_inversion.tex:3804;chapters/theory/bar_cobar_adjunction_inversion.tex:3823;chapters/theory/en_koszul_duality.tex:631;chapters/theory/en_koszul_duality.tex:692;chapters/theory/en_koszul_duality.tex:695;chapters/theory/en_koszul_duality.tex:738;chapters/connections/concordance.tex:587;chapters/connections/editorial_constitution.tex:1659;chapters/connections/editorial_constitution.tex:1680;chapters/connections/editorial_constitution.tex:2372;chapters/connections/thqg_open_closed_realization.tex:659;chapters/connections/thqg_open_closed_realization.tex:688;chapters/connections/thqg_open_closed_realization.tex:690;chapters/connections/thqg_open_closed_realization.tex:717;chapters/connections/thqg_open_closed_realization.tex:747;chapters/connections/thqg_open_closed_realization.tex:843;chapters/connections/thqg_open_closed_realization.tex:867;chapters/examples/free_fields.tex:3679;chapters/examples/deformation_quantization.tex:792	none
AF20	chapters/connections/concordance.tex:587	none
AGT09	chapters/connections/frontier_modular_holography_platonic.tex:4658;chapters/examples/w_algebras.tex:2602	none
AHS01	chapters/theory/en_koszul_duality.tex:6884;chapters/connections/frontier_modular_holography_platonic.tex:5314	none
AK18	chapters/theory/hochschild_cohomology.tex:1257	none
AMT24	chapters/connections/concordance.tex:1550;chapters/connections/concordance.tex:1564;chapters/connections/concordance.tex:1693;chapters/connections/concordance.tex:5271;chapters/connections/frontier_modular_holography_platonic.tex:3827;chapters/connections/frontier_modular_holography_platonic.tex:3849;chapters/connections/genus_complete.tex:1301;chapters/connections/genus_complete.tex:1720;chapters/connections/editorial_constitution.tex:2269	none
AS94	chapters/theory/chiral_hochschild_koszul.tex:2588	none
ASV18	chapters/theory/higher_genus_modular_koszul.tex:27422;chapters/theory/higher_genus_modular_koszul.tex:27492	none
Achar03	chapters/examples/w_algebras_deep.tex:2100	none
Adamovic1999	chapters/examples/n2_superconformal.tex:295;chapters/examples/w_algebras_deep.tex:5246	none
AdamovicMilas2008	chapters/theory/chiral_modules.tex:2283;chapters/theory/chiral_modules.tex:2411;chapters/examples/logarithmic_w_algebras.tex:110;chapters/examples/logarithmic_w_algebras.tex:284;chapters/examples/logarithmic_w_algebras.tex:384;chapters/examples/logarithmic_w_algebras.tex:403	none
Ahlfors79	chapters/theory/fourier_seed.tex:545	none
Almheiri-Dong-Harlow15	chapters/connections/thqg_entanglement_programme.tex:587;chapters/connections/thqg_entanglement_programme.tex:630;chapters/connections/holographic_codes_koszul.tex:206	none
Alvarez1983	chapters/theory/higher_genus_modular_koszul.tex:29754;chapters/theory/higher_genus_modular_koszul.tex:29814;chapters/connections/arithmetic_shadows.tex:10142	none
Andersen92	chapters/theory/chiral_modules.tex:1645	none
Ara07	chapters/theory/chiral_hochschild_koszul.tex:4231;chapters/theory/chiral_hochschild_koszul.tex:4234;chapters/theory/chiral_modules.tex:2039;chapters/theory/chiral_modules.tex:4398;chapters/theory/hochschild_cohomology.tex:239;chapters/examples/kac_moody.tex:1920	none
Ara12	chapters/theory/higher_genus_complementarity.tex:654;chapters/theory/chiral_modules.tex:4293;chapters/theory/bar_cobar_adjunction_inversion.tex:2062	none
Ara15	chapters/examples/w_algebras.tex:774	none
Ara74	chapters/theory/higher_genus_foundations.tex:745;chapters/connections/feynman_diagrams.tex:998	none
Arakawa15	chapters/theory/existence_criteria.tex:544;chapters/theory/hochschild_cohomology.tex:1267	none
Arakawa17	chapters/theory/chiral_modules.tex:2094;chapters/theory/chiral_modules.tex:2118;chapters/theory/chiral_modules.tex:2155;chapters/theory/koszul_pair_structure.tex:1357;chapters/theory/bar_cobar_adjunction_inversion.tex:1816;chapters/examples/w_algebras.tex:992;chapters/examples/w_algebras.tex:2868;chapters/examples/w_algebras.tex:2873;chapters/examples/w_algebras.tex:2906;chapters/examples/w_algebras.tex:3041;chapters/examples/minimal_model_fusion.tex:65;chapters/examples/minimal_model_fusion.tex:75;chapters/examples/kac_moody.tex:2743;chapters/examples/kac_moody.tex:2753;chapters/examples/kac_moody.tex:2760;chapters/examples/kac_moody.tex:3476;chapters/examples/kac_moody.tex:3485;chapters/examples/kac_moody.tex:3500;chapters/examples/kac_moody.tex:3556;chapters/examples/kac_moody.tex:3585;chapters/examples/kac_moody.tex:3651;chapters/examples/w_algebras_deep.tex:117	none
Arakawa2005Duke	chapters/theory/bar_cobar_adjunction_inversion.tex:2062	none
Arakawa2015ICM	chapters/theory/bar_cobar_adjunction_inversion.tex:2062	none
Arakawa2016RationalAdmissible	chapters/theory/bar_cobar_adjunction_inversion.tex:1816;chapters/theory/bar_cobar_adjunction_inversion.tex:2062;chapters/theory/bar_cobar_adjunction_inversion.tex:4940;chapters/theory/bar_cobar_adjunction_inversion.tex:4958;chapters/connections/concordance.tex:9289	none
ArakawaMoreau17	chapters/examples/w_algebras.tex:774	none
Arkhipov97	chapters/connections/bv_brst.tex:549;chapters/connections/bv_brst.tex:974;chapters/connections/editorial_constitution.tex:2070	none
Atiyah71	chapters/examples/free_fields.tex:3952	none
AvE23	chapters/theory/koszul_pair_structure.tex:1220;chapters/examples/logarithmic_w_algebras.tex:298	none
BB81	chapters/theory/chiral_modules.tex:1793;chapters/theory/chiral_modules.tex:4086;chapters/theory/chiral_modules.tex:4108;chapters/theory/chiral_modules.tex:4270;chapters/theory/chiral_koszul_pairs.tex:5982	none
BCOV93	chapters/theory/e1_modular_koszul.tex:617;chapters/theory/higher_genus_modular_koszul.tex:30151	none
BEHFH96	chapters/theory/bar_cobar_adjunction_curved.tex:5393	none
BFM04	chapters/theory/derived_langlands.tex:1474;chapters/theory/chiral_koszul_pairs.tex:6003	none
BFN18	chapters/connections/editorial_constitution.tex:2104;chapters/connections/editorial_constitution.tex:2119;chapters/examples/yangians_computations.tex:41;chapters/examples/w_algebras_deep.tex:3374	none
BG24	chapters/connections/editorial_constitution.tex:2204	none
BGG76	chapters/theory/chiral_modules.tex:1589;chapters/theory/chiral_modules.tex:1612;chapters/theory/chiral_modules.tex:2779;chapters/theory/chiral_modules.tex:3040;chapters/examples/bar_complex_tables.tex:2201;chapters/examples/bar_complex_tables.tex:4258	none
BH86	chapters/theory/higher_genus_modular_koszul.tex:3179;chapters/theory/higher_genus_modular_koszul.tex:3293	none
BK01	chapters/theory/derived_langlands.tex:1261;chapters/connections/genus_complete.tex:368	none
BK1986	chapters/connections/arithmetic_shadows.tex:10035	none
BK81	chapters/theory/chiral_modules.tex:1793;chapters/theory/chiral_modules.tex:4270;chapters/theory/chiral_koszul_pairs.tex:5983	none
BK86	chapters/connections/bv_brst.tex:1551;chapters/connections/genus_complete.tex:1512;chapters/examples/free_fields.tex:4977;chapters/examples/free_fields.tex:5191	none
BL15	chapters/theory/chiral_hochschild_koszul.tex:1650;chapters/theory/chiral_hochschild_koszul.tex:3132	none
BL24	chapters/connections/concordance.tex:730	none
BLPW16	chapters/examples/yangians_computations.tex:134	none
BLZ99	chapters/connections/arithmetic_shadows.tex:4282;chapters/connections/arithmetic_shadows.tex:4305	none
BPZ84	chapters/theory/poincare_duality_quantum.tex:1099;chapters/examples/minimal_model_examples.tex:231;chapters/examples/minimal_model_fusion.tex:257;chapters/examples/minimal_model_fusion.tex:456;chapters/examples/free_fields.tex:5145	BPZ
BRvR14-6d	chapters/connections/frontier_modular_holography_platonic.tex:4952;chapters/connections/frontier_modular_holography_platonic.tex:5042	none
BT15	chapters/connections/frontier_modular_holography_platonic.tex:5134	none
BTZ92	chapters/connections/entanglement_modular_koszul.tex:704	none
BV85	chapters/theory/chiral_modules.tex:2149;chapters/theory/koszul_pair_structure.tex:2689;chapters/examples/w_algebras.tex:479;chapters/examples/w_algebras_deep.tex:2100	none
BW83	chapters/theory/algebraic_foundations.tex:1461;chapters/theory/algebraic_foundations.tex:1738;chapters/theory/poincare_duality_quantum.tex:1181	none
BZFN10	chapters/theory/hochschild_cohomology.tex:771;chapters/theory/hochschild_cohomology.tex:786;chapters/theory/hochschild_cohomology.tex:1003;chapters/theory/hochschild_cohomology.tex:1029;chapters/theory/hochschild_cohomology.tex:1123;chapters/theory/hochschild_cohomology.tex:1452	none
BarNatan95	chapters/connections/editorial_constitution.tex:1804;chapters/connections/editorial_constitution.tex:1841	none
Baranovsky08	chapters/theory/en_koszul_duality.tex:6909	none
Baxter82	chapters/examples/yangians_computations.tex:1150	none
Beauville	chapters/theory/chiral_modules.tex:616	none
BenjaminChang22	chapters/connections/arithmetic_shadows.tex:5674;chapters/connections/genus_complete.tex:2464	none
Berger01	chapters/theory/bar_cobar_adjunction_inversion.tex:1838	none
BittlestonCostello25	chapters/connections/frontier_modular_holography_platonic.tex:4940	none
BittlestonCostelloZeng24	chapters/connections/editorial_constitution.tex:2121	none
Boardman-conditional	chapters/theory/spectral_sequences.tex:243;chapters/theory/cobar_construction.tex:2727;chapters/theory/higher_genus_foundations.tex:2015	none
Bor92	chapters/theory/chiral_hochschild_koszul.tex:84;chapters/examples/moonshine.tex:269;chapters/examples/free_fields.tex:4980	none
Bouwknegt-Schoutens	chapters/theory/bar_cobar_adjunction_curved.tex:5392;chapters/examples/w_algebras.tex:2210;chapters/examples/w_algebras.tex:2229	none
Brieskorn73	chapters/theory/configuration_spaces.tex:3009	none
BrochierWoike2022	chapters/connections/thqg_open_closed_realization.tex:1298;chapters/connections/thqg_open_closed_realization.tex:1342;chapters/connections/thqg_open_closed_realization.tex:1363	none
Brown12	chapters/connections/arithmetic_shadows.tex:2770	none
BrunKlesh06	chapters/examples/yangians_computations.tex:2303;chapters/examples/yangians_computations.tex:2315	none
ButsonNair	chapters/theory/koszul_pair_structure.tex:1220;chapters/connections/subregular_hook_frontier.tex:190;chapters/connections/subregular_hook_frontier.tex:248;chapters/connections/subregular_hook_frontier.tex:1543;chapters/examples/w_algebras.tex:597	none
CDG20	chapters/connections/concordance.tex:6574;chapters/connections/semistrict_modular_higher_spin_w3.tex:66;chapters/connections/semistrict_modular_higher_spin_w3.tex:720;chapters/connections/frontier_modular_holography_platonic.tex:1138;chapters/connections/frontier_modular_holography_platonic.tex:1171;chapters/examples/w_algebras.tex:3112;chapters/examples/genus_expansions.tex:3758;chapters/examples/genus_expansions.tex:3774;chapters/examples/genus_expansions.tex:3794;chapters/examples/genus_expansions.tex:3833;chapters/examples/beta_gamma.tex:1656;chapters/examples/beta_gamma.tex:1687;chapters/examples/beta_gamma.tex:2959	none
CDG2023	chapters/theory/higher_genus_modular_koszul.tex:3167;chapters/examples/yangians_computations.tex:4409;chapters/examples/yangians_computations.tex:4457;chapters/examples/yangians_computations.tex:4477;chapters/examples/yangians_drinfeld_kohno.tex:2487;chapters/examples/yangians_drinfeld_kohno.tex:2743;chapters/examples/yangians_drinfeld_kohno.tex:6572;chapters/examples/kac_moody.tex:5934	none
CDG2024	chapters/theory/higher_genus_complementarity.tex:179;chapters/theory/koszul_pair_structure.tex:1831;chapters/theory/higher_genus_modular_koszul.tex:16788	none
CDN26	chapters/examples/kac_moody.tex:4251	none
CEE09	chapters/theory/higher_genus_modular_koszul.tex:33391;chapters/theory/higher_genus_modular_koszul.tex:33810	none
CEO06	chapters/connections/genus_complete.tex:486	none
CFG25	chapters/theory/en_koszul_duality.tex:3192;chapters/theory/en_koszul_duality.tex:4148;chapters/theory/en_koszul_duality.tex:4166;chapters/theory/en_koszul_duality.tex:4387	none
CFLN24	chapters/theory/koszul_pair_structure.tex:1220;chapters/connections/subregular_hook_frontier.tex:190;chapters/connections/subregular_hook_frontier.tex:1536;chapters/connections/subregular_hook_frontier.tex:1543;chapters/examples/w_algebras.tex:597	CLNS24
CG-vol2	chapters/theory/chiral_hochschild_koszul.tex:2785;chapters/theory/bar_cobar_adjunction_curved.tex:6472;chapters/theory/en_koszul_duality.tex:3999;chapters/theory/en_koszul_duality.tex:4009	none
CG97	chapters/theory/koszul_pair_structure.tex:2257	CG17
CL01	chapters/theory/higher_genus_modular_koszul.tex:10469	none
CL10	chapters/theory/chiral_hochschild_koszul.tex:2104;chapters/theory/higher_genus_modular_koszul.tex:10523;chapters/theory/higher_genus_modular_koszul.tex:31051	none
CL16	chapters/theory/higher_genus_complementarity.tex:2685	none
CM25	chapters/connections/concordance.tex:1004	none
CP2020	chapters/theory/poincare_duality_quantum.tex:116;chapters/theory/poincare_duality_quantum.tex:135;chapters/connections/editorial_constitution.tex:2017;chapters/connections/editorial_constitution.tex:2035;chapters/examples/symmetric_orbifolds.tex:462	none
CPS1999	chapters/connections/arithmetic_shadows.tex:8170;chapters/connections/arithmetic_shadows.tex:8178;chapters/connections/arithmetic_shadows.tex:8444	none
CPS2208	chapters/connections/frontier_modular_holography_platonic.tex:5036;chapters/connections/frontier_modular_holography_platonic.tex:5203	none
CPS2306	chapters/connections/frontier_modular_holography_platonic.tex:5036;chapters/connections/frontier_modular_holography_platonic.tex:5203;chapters/connections/frontier_modular_holography_platonic.tex:5250	none
CS24	chapters/theory/higher_genus_complementarity.tex:127	CLNS24
CWY18	chapters/examples/yangians_foundations.tex:72	none
Calabrese-Cardy04	chapters/connections/thqg_entanglement_programme.tex:416;chapters/connections/thqg_entanglement_programme.tex:451;chapters/connections/concordance.tex:6766;chapters/connections/entanglement_modular_koszul.tex:50;chapters/connections/entanglement_modular_koszul.tex:59;chapters/connections/entanglement_modular_koszul.tex:148	none
Cardy86	chapters/connections/entanglement_modular_koszul.tex:941	none
Carlip98	chapters/connections/entanglement_modular_koszul.tex:795;chapters/connections/entanglement_modular_koszul.tex:941	none
CattaneoFelder99	chapters/examples/deformation_quantization.tex:57	none
CattaneoMnev10	chapters/theory/en_koszul_duality.tex:1178;chapters/connections/editorial_constitution.tex:1856	none
ChariPressley94	chapters/examples/yangians_computations.tex:1642;chapters/examples/yangians_drinfeld_kohno.tex:3314;chapters/examples/yangians_drinfeld_kohno.tex:3491;chapters/examples/yangians_drinfeld_kohno.tex:3629;chapters/examples/yangians_drinfeld_kohno.tex:3644	none
Cliff19	chapters/theory/algebraic_foundations.tex:1320;chapters/theory/algebraic_foundations.tex:1328;chapters/theory/higher_genus_foundations.tex:909;chapters/theory/higher_genus_foundations.tex:5504;chapters/theory/higher_genus_modular_koszul.tex:29669;chapters/theory/higher_genus_modular_koszul.tex:29682	none
Coh76	chapters/theory/bar_construction.tex:1225;chapters/theory/en_koszul_duality.tex:211;chapters/theory/en_koszul_duality.tex:241;chapters/connections/editorial_constitution.tex:1751	none
Connes85	chapters/theory/hochschild_cohomology.tex:603;chapters/theory/hochschild_cohomology.tex:623;chapters/theory/hochschild_cohomology.tex:626;chapters/theory/hochschild_cohomology.tex:635;chapters/theory/hochschild_cohomology.tex:652	none
Costello-1705.02500v1	chapters/theory/poincare_duality_quantum.tex:88	none
Costello-Gaiotto18	chapters/connections/frontier_modular_holography_platonic.tex:4751;chapters/connections/frontier_modular_holography_platonic.tex:4876	CostelloGaiotto2020
Costello2013	chapters/examples/kac_moody.tex:5839	none
Costello2111	chapters/connections/frontier_modular_holography_platonic.tex:4937;chapters/connections/frontier_modular_holography_platonic.tex:5034	none
CostelloP2201	chapters/connections/frontier_modular_holography_platonic.tex:4938;chapters/connections/frontier_modular_holography_platonic.tex:5035	none
Creutzig24	chapters/examples/kac_moody.tex:3465	none
CreutzigGainutdinovRunkel20	chapters/examples/logarithmic_w_algebras.tex:415;chapters/examples/logarithmic_w_algebras.tex:620;chapters/examples/lattice_foundations.tex:3449	none
CreutzigRidout2013	chapters/theory/chiral_modules.tex:2438;chapters/connections/concordance.tex:9277;chapters/examples/w_algebras.tex:3093	none
Cvitanovic08	chapters/examples/kac_moody.tex:5733	none
DGMS75	chapters/theory/poincare_duality_quantum.tex:397;chapters/examples/bar_complex_tables.tex:1904	none
DMVV	chapters/examples/heisenberg_eisenstein.tex:831	none
DMVV97	chapters/theory/higher_genus_modular_koszul.tex:28905;chapters/theory/higher_genus_modular_koszul.tex:28962;chapters/examples/symmetric_orbifolds.tex:18;chapters/examples/symmetric_orbifolds.tex:117;chapters/examples/symmetric_orbifolds.tex:352	none
DNP2025	chapters/theory/quantum_corrections.tex:722;chapters/examples/yangians_computations.tex:4544	DNP25
DP86	chapters/connections/bv_brst.tex:1526	none
DPSS20	chapters/connections/arithmetic_shadows.tex:12155;chapters/connections/arithmetic_shadows.tex:12211;chapters/connections/arithmetic_shadows.tex:12405	none
DS	chapters/examples/kac_moody.tex:1859;chapters/examples/free_fields.tex:5395	none
DT99	chapters/connections/arithmetic_shadows.tex:4281	none
DTT09	chapters/theory/chiral_center_theorem.tex:1437;chapters/examples/deformation_quantization.tex:585	none
Deligne70	chapters/theory/chiral_hochschild_koszul.tex:2585	Deligne1974
Deligne71	chapters/theory/higher_genus_complementarity.tex:1230;chapters/theory/configuration_spaces.tex:729	Deligne1974
Deligne96	chapters/examples/kac_moody.tex:5733	Deligne1974
DeligneM69	chapters/theory/higher_genus_complementarity.tex:3416;chapters/theory/configuration_spaces.tex:289;chapters/theory/configuration_spaces.tex:320;chapters/theory/configuration_spaces.tex:4081;chapters/theory/higher_genus_foundations.tex:2798;chapters/theory/higher_genus_foundations.tex:2811	Deligne1974
DiFrancesco1997	chapters/connections/arithmetic_shadows.tex:9613;chapters/examples/free_fields.tex:4358	none
Dijkgraaf99	chapters/theory/higher_genus_modular_koszul.tex:28922	DijkgraafVafa
Dold61	chapters/theory/chiral_hochschild_koszul.tex:5332	none
DolgushevPaljug16	chapters/theory/en_koszul_duality.tex:6383	none
DolgushevRogersWillwacher15	chapters/theory/en_koszul_duality.tex:6406	none
Drinfeld-Yangians	chapters/theory/ordered_associative_chiral_kd.tex:7036	none
Drinfeld88	chapters/examples/yangians_computations.tex:1257;chapters/examples/yangians_computations.tex:1467;chapters/examples/yangians_computations.tex:1479;chapters/examples/yangians_computations.tex:1652	Drinfeld85
Drinfeld90	chapters/theory/ordered_associative_chiral_kd.tex:8938;chapters/theory/chiral_hochschild_koszul.tex:6203;chapters/theory/e1_modular_koszul.tex:470;chapters/examples/yangians_drinfeld_kohno.tex:6;chapters/examples/yangians_drinfeld_kohno.tex:218	Drinfeld1985
Dunn88	chapters/theory/en_koszul_duality.tex:6761	none
EFK98	chapters/examples/yangians_drinfeld_kohno.tex:7563	none
EGNO	chapters/theory/derived_langlands.tex:1261;chapters/theory/higher_genus_modular_koszul.tex:9351;chapters/examples/lattice_foundations.tex:3429	none
EK96	chapters/theory/ordered_associative_chiral_kd.tex:8299;chapters/theory/ordered_associative_chiral_kd.tex:8940;chapters/theory/e1_modular_koszul.tex:472;chapters/theory/en_koszul_duality.tex:5848	none
EM66	chapters/connections/bv_brst.tex:591;chapters/connections/bv_brst.tex:984	none
EO07	chapters/connections/genus_complete.tex:486	none
EV98	chapters/theory/higher_genus_modular_koszul.tex:33707	none
Ecalle81	chapters/theory/higher_genus_modular_koszul.tex:27422;chapters/theory/higher_genus_modular_koszul.tex:27703	none
Engelhardt-Wall14	chapters/connections/thqg_entanglement_programme.tex:294;chapters/connections/entanglement_modular_koszul.tex:544	none
Epstein1903	chapters/theory/higher_genus_modular_koszul.tex:18159	none
EtingofKazhdan00	chapters/theory/introduction.tex:1627	none
Eyn04	chapters/connections/genus_complete.tex:486	none
FBZ04	chapters/theory/existence_criteria.tex:453;chapters/theory/existence_criteria.tex:490;chapters/theory/algebraic_foundations.tex:1331;chapters/theory/algebraic_foundations.tex:2197;chapters/theory/higher_genus_foundations.tex:5505;chapters/theory/en_koszul_duality.tex:6158;chapters/theory/fourier_seed.tex:461;chapters/theory/fourier_seed.tex:480;chapters/theory/higher_genus_modular_koszul.tex:29675;chapters/connections/genus_complete.tex:60;chapters/connections/genus_complete.tex:130;chapters/examples/kac_moody.tex:417;chapters/examples/free_fields.tex:2610;chapters/examples/heisenberg_eisenstein.tex:399;chapters/examples/heisenberg_eisenstein.tex:2009;chapters/examples/beta_gamma.tex:294;chapters/examples/beta_gamma.tex:304;chapters/examples/beta_gamma.tex:657;chapters/examples/beta_gamma.tex:748	FBZ
FF84	chapters/theory/chiral_modules.tex:1396;chapters/theory/chiral_modules.tex:1409;chapters/theory/chiral_modules.tex:3804;chapters/theory/hochschild_cohomology.tex:135;chapters/theory/hochschild_cohomology.tex:259;chapters/examples/minimal_model_examples.tex:465	none
FG06	chapters/theory/derived_langlands.tex:150;chapters/theory/derived_langlands.tex:235;chapters/theory/derived_langlands.tex:292;chapters/theory/derived_langlands.tex:371;chapters/theory/derived_langlands.tex:597;chapters/theory/derived_langlands.tex:1326;chapters/theory/derived_langlands.tex:1500;chapters/theory/chiral_modules.tex:4118;chapters/theory/chiral_modules.tex:4139;chapters/theory/koszul_pair_structure.tex:1146;chapters/examples/kac_moody.tex:4320;chapters/examples/kac_moody.tex:4346	none
FGF2010	chapters/examples/logarithmic_w_algebras.tex:110;chapters/examples/logarithmic_w_algebras.tex:681	none
FGZ86	chapters/connections/bv_brst.tex:465;chapters/connections/bv_brst.tex:875;chapters/connections/bv_brst.tex:912;chapters/connections/bv_brst.tex:958;chapters/connections/bv_brst.tex:971;chapters/connections/bv_brst.tex:998;chapters/connections/bv_brst.tex:1019	none
FH91	chapters/theory/e1_modular_koszul.tex:2397	none
FHM11	chapters/connections/frontier_modular_holography_platonic.tex:4857	none
FK80	chapters/theory/chiral_hochschild_koszul.tex:1470;chapters/examples/level1_bridge.tex:101;chapters/examples/lattice_foundations.tex:607;chapters/examples/lattice_foundations.tex:623	none
FL88	chapters/theory/higher_genus_modular_koszul.tex:9028;chapters/theory/higher_genus_modular_koszul.tex:9543;chapters/examples/w_algebras.tex:2192;chapters/examples/w_algebras.tex:2317;chapters/examples/w_algebras.tex:2957;chapters/examples/w3_composite_fields.tex:944	none
FLM88	chapters/examples/moonshine.tex:6;chapters/examples/free_fields.tex:5311;chapters/examples/lattice_foundations.tex:1335	none
